2025-04-13 20:19:03,651 - websocket-server - INFO - Python version: 3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 10:07:17) [Clang 14.0.6 ]
2025-04-13 20:19:03,651 - websocket-server - INFO - Websockets version: 14.1
2025-04-13 20:19:03,651 - websocket-server - INFO - Starting WebSocket server for browser clients on port 9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Server running at ws://localhost:9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Press Ctrl+C to stop the server
2025-04-13 20:19:07,990 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52001)-4326436560
2025-04-13 20:19:07,990 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52001)-4326436560
2025-04-13 20:19:08,002 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52003)-4326428112
2025-04-13 20:19:08,002 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52003)-4326428112
2025-04-13 20:19:08,318 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52012)-4326438816
2025-04-13 20:19:08,319 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52012)-4326438816
2025-04-13 20:19:08,430 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52014)-4326440208
2025-04-13 20:19:08,430 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52014)-4326440208
2025-04-13 20:19:08,456 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52016)-4326654656
2025-04-13 20:19:08,456 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52016)-4326654656
2025-04-13 20:19:08,469 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52018)-4326656048
2025-04-13 20:19:08,469 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52018)-4326656048
2025-04-13 20:19:08,493 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52020)-4326657440
2025-04-13 20:19:08,493 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52020)-4326657440
2025-04-13 20:19:08,701 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52022)-4326658832
2025-04-13 20:19:08,701 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52022)-4326658832
2025-04-13 20:19:08,716 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52024)-4326660224
2025-04-13 20:19:08,716 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52024)-4326660224
2025-04-13 20:19:08,741 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52026)-4326661616
2025-04-13 20:19:08,741 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52026)-4326661616
2025-04-13 20:19:08,822 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52032)-4326663008
2025-04-13 20:19:08,822 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52032)-4326663008
2025-04-13 20:19:08,910 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52034)-4326664400
2025-04-13 20:19:08,910 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52034)-4326664400
2025-04-13 20:19:08,922 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52036)-4326665792
2025-04-13 20:19:08,922 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52036)-4326665792
